npm warn config ignoring workspace config at /app/apps/next-web/.npmrc
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:344:102: Strings not allowed in JSX files: "Specialized agencies focusing on specific industries with premium positioning." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:362:104: Strings not allowed in JSX files: "Top Market Gaps & Opportunities" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:428:103: Strings not allowed in JSX files: "Differentiation Strategies" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:487:111: Strings not allowed in JSX files: "Content Ideas (Aligned with Competitor Gaps)" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/page.tsx:165:51: Strings not allowed in JSX files: "..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/LocationList.client.tsx:47:36: Strings not allowed in JSX files: "Loading..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/page.tsx:177:58: Strings not allowed in JSX files: "Social Integrations" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/page.tsx:178:67: Strings not allowed in JSX files: "Connect your social media accounts to sync posts and reviews." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/social-connections/page.tsx:13:42: Strings not allowed in JSX files: "Social Integrations" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/social-connections/page.tsx:14:51: Strings not allowed in JSX files: "Connect your social media accounts to sync posts and reviews." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/BrandProfilesList.tsx:424:22: Strings not allowed in JSX files: "Cancel" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/BrandProfilesList.tsx:433:22: Strings not allowed in JSX files: "Delete" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/WebsiteConnectWizard.tsx:184:79: Strings not allowed in JSX files: "Enter the website URL to automatically extract brand identity assets." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/WebsiteConnectWizard.tsx:290:119: Strings not allowed in JSX files: "Colors" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/WebsiteConnectWizard.tsx:301:156: Strings not allowed in JSX files: "No colors found" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/WebsiteConnectWizard.tsx:306:119: Strings not allowed in JSX files: "Visual Assets" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/WebsiteConnectWizard.tsx:317:156: Strings not allowed in JSX files: "No assets found" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/WebsiteConnectWizard.tsx:338:20: Strings not allowed in JSX files: "Start Over" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/AuditLogTab.tsx:2:1: There should be at least one empty line between import groups [Error/import/order]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/AuditLogTab.tsx:25:10: 'formatDynamicDate' is defined but never used. [Error/@typescript-eslint/no-unused-vars]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/BrandIdentityTab.tsx:2:1: There should be at least one empty line between import groups [Error/import/order]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ExtractionHistoryTab.tsx:22:54: Strings not allowed in JSX files: "v" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ProfileHeader.tsx:133:62: Strings not allowed in JSX files: "Last updated" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ProfileHeader.tsx:152:14: Strings not allowed in JSX files: "Confirm" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ProfileHeader.tsx:169:12: Strings not allowed in JSX files: "Re-extract" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ProfileTabs.tsx:1:1: There should be at least one empty line between import groups [Error/import/order]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ProfileTabs.tsx:42:3: Expected blank line before this statement. [Error/padding-line-between-statements]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ProfileTabs.tsx:42:3: Expected newline before return statement. [Error/newline-before-return]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/[id]/_components/ToneMessagingTab.tsx:5:1: There should be at least one empty line between import groups [Error/import/order]
/app/apps/next-web/src/app/[locale]/(admin)/admin/profiles/page.tsx:120:26: Strings not allowed in JSX files: "`
        @keyframes fadeIn {
          from { opacity: 0; transform: translateY(10px); }
          to { opacity: 1; transform: translateY(0); }
        }
      `" [Error/react/jsx-no-literals]
